Sample_ID,Sample,Taxon,Protocol,Parameter,Value
Light_1,1,Jania,light,ETRmax,30.4
Light_2,2,Halopteris,light,ETRmax,6.9
Light_3,3,Nemalion,light,ETRmax,3.9
Light_4,4,Padina,light,ETRmax,29.6
Light_5,5,Hypnea,light,ETRmax,23.5
Light_6,6,Codium,light,ETRmax,9.5
Light_7,7,Laurencia,light,ETRmax,42.4
Light_8,8,Cystoseira,light,ETRmax,14.9
Light_9,9,Halimeda,light,ETRmax,16.5
Light_10,10,Galaxaura,light,ETRmax,8.8
Light_11,11,Colpomenia,light,ETRmax,28.7
Light_12,12,Ulva,light,ETRmax,16.8
Light_13,13,Dictyota,light,ETRmax,17.3
Dark_1,1,Jania,dark,Fv/Fm,0.703927492
Dark_2,2,Padina,dark,Fv/Fm,0.712312312
Dark_3,3,Laurencia,dark,Fv/Fm,0.693668647
Dark_4,4,Colpomenia,dark,Fv/Fm,0.643699858
Dark_5,5,Ulva,dark,Fv/Fm,0.344587885
Dark_6,6,Red_UNK,dark,Fv/Fm,0.628021486
Dark_7,7,Dictyota,dark,Fv/Fm,0.404695361
Dark_8,8,Galaxaura,dark,Fv/Fm,0.57864265
Dark_1,1,Jania,dark,NPQmax,0.703
Dark_2,2,Padina,dark,NPQmax,0.609
Dark_3,3,Laurencia,dark,NPQmax,0.519
Dark_4,4,Colpomenia,dark,NPQmax,0.681
Dark_5,5,Ulva,dark,NPQmax,0.5
Dark_6,6,Red_UNK,dark,NPQmax,0.541
Dark_7,7,Dictyota,dark,NPQmax,0.648
Dark_8,8,Galaxaura,dark,NPQmax,0.404
Dark_1,1,Jania,dark,NPQ_auc,359.0725
Dark_2,2,Padina,dark,NPQ_auc,291.5815
Dark_3,3,Laurencia,dark,NPQ_auc,237.6215
Dark_4,4,Colpomenia,dark,NPQ_auc,299.6525
Dark_5,5,Ulva,dark,NPQ_auc,250.4215
Dark_6,6,Red_UNK,dark,NPQ_auc,301.477
Dark_7,7,Dictyota,dark,NPQ_auc,296.176
Dark_8,8,Galaxaura,dark,NPQ_auc,189.7525
