Sample,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7,Peak 8,Peak 9,Peak 10,Peak 11
AR-1.1,3181.54,1618.7,1425.97,1071.21,853.38,622.9,,,,,
AR-1.2,3404.76,1619.9,1451.53,1093.08,872.69,779.27,712.62,699.55,450.48,,
AR-1.3,3398.85,2524.02,1786.83,1455.89,1082.61,854.05,712.64,699.54,,,
AR-1.4,3404.06,1464.26,1082.71,854.9,712.73,699.73,,,,,
AR-2.1,3403.04,1787.01,1467.07,1141.17,1082.77,854.39,712.45,699.27,,,
AR-2.2,3398.54,1467.94,1082.57,854.3,712.62,699.27,,,,,
AR-2.3,3353.28,2933.22,1594.37,1505.66,1454.42,1266.39,1138.88,1029.48,854.47,712.6,455.37
AR-2.4,3403.26,1470.52,1082.74,853.39,712.63,699.28,,,,,
AR-3.1,3401.68,1787,1468.26,1082.79,854.22,712.77,699.27,,,,
AR-3.2,3333.85,1464.04,1082.44,853.24,712.64,699.27,,,,,
AR-3.3,3388.46,1787.16,1455.27,1082.7,854.49,712.68,699.28,464.29,,,
AR-3.4,1470.39,1082.69,855.09,779.07,712.32,699.47,493.63,,,,
AR-4.1,3394.96,1464.6,1268.92,1140.3,1082.89,856.17,712.75,699.27,,,
AR-4.2,3399.94,1786.85,1470.76,1140.85,1082.75,853.75,712.86,699.47,,,
AR-4.3,3398.16,1467.55,1082.62,854.83,712.67,699.16,,,,,
AR-5.1,1413.69,1051.13,873.62,778.23,713.06,477.33,,,,,
AR-5.2,3398.46,3239.63,2323.38,1620.82,1402.48,1140.76,753.29,665.87,599.92,541.77,
AR-6.1,3401.99,1467.82,1139.66,1082.73,854.7,712.64,699.16,,,,
AR-6.2,2794.38,1445.91,1082.65,854.28,712.5,699.27,,,,,
AR-6.3,3378.01,2927.82,1599.92,1089.92,1027.41,704.8,,,,,
AR-6.4,3401.81,1786.92,1464.34,1139.58,1082.87,854.58,712.64,699.27,,,
AR-7.1,3221.09,1450.79,1082.27,854.36,712.24,699.32,,,,,
AR-7.2,3355.1,1786.9,1467.75,1082.86,855.84,712.57,699.16,,,,
AR-7.3,3400.49,1464.06,1082.69,854.81,712.47,699.16,,,,,
AR-8.1,3407.95,3330.82,1620.91,1455.31,1115.29,873.67,778.71,712.99,600.19,469.01,
AR-8.2,3401.28,1471.18,1120.89,872.18,713,600.21,,,,,
AR-8.3,3362.83,1470.77,1083.02,854.56,713.01,700.2,,,,,
AR-9.1,3395.49,1467.01,1082.57,854.72,713.48,699.27,,,,,
AR-9.2,3400.84,1455.37,1139.03,1082.79,855.15,712.56,699.27,,,,
AR-11.1,3536,3403.26,1620.05,1451.73,1121.54,873.48,713.8,669.77,601.65,,
AR-11.2,3402.91,1470.38,1082.83,856.09,798.09,712.93,466.93,,,,
AR-11.3,3141.91,1620.32,1471.07,1117.15,1021.73,856.93,797.06,599.37,467.13,,
AR-12.1,3402.42,1470.81,1115.78,1082.91,856.43,712.87,699.24,600.92,,,
AR-12.2,3405.43,1471.08,1140.47,1083.17,857.09,712.81,703.01,,,,
AR-12.3,3383.16,1786.8,1464.27,1082.69,854.99,712.86,699.18,,,,
AR-13.1,3405.2,1452.08,1116.16,836.67,798.13,712.85,468.33,,,,
AR-13.3,3539.64,3402.3,1417.44,1116.85,1036.05,873.32,797.49,712.6,471.76,,
AR-14.1,3406.96,1471.24,1082.95,855.17,713.04,703.94,,,,,
AR-14.2,3404.4,1472.14,1142.27,1083.05,855.1,713.93,699.37,,,,
AR-14.3,3012.93,1803.39,1406.72,1055.46,873.67,777.28,,,,,
AR-15.1,3742.96,2356.43,2155.46,1221.2,895.87,826.64,737.37,650.37,,,
AR-15.2,1470.00~,1082.48,855.08,712.58,,,,,,,
AR-16.1,2733.56,2459.22,1768.13,1092.89,981.27,873.36,777.49,,,,
AR-16.2,3851.61,3742.13,1749.05,1643,1560.39,1212.98,902.54,825.4,753.25,,
AR-16.3,3386.88,1781.3,1448.38,1031.81,855.18,774.94,711.75,458.14,,,
AR-17.1,3543.81,3405.1,1684.59,1405.48,1140.83,872.56,715.12,669.15,601.47,,
AR-17.2,2930.81,1601.76,1211.96,896.7,,,,,,,
AR-17.3,1785.99,1468.61,1082.6,854.94,777.42,699.48,712.73,463.93,,,
AR-18.1,2930.61,1599.96,1508.97,1216.43,1134.21,1025.56,888.72,810.85,718.66,,
AR-18.2,1123.94,871.97,,,,,,,,,
AR-19.3,3128.65,1167.54,529.55,,,,,,,,
AR-20.1,3422.92,2496.06,1784.91,1082.42,854.33,712.29,699.63,,,,
AR-20.2,3529.52,2520.75,1785.47,1082.46,853.2,712.33,699.52,,,,
AR-20.3,1976.01,1115.02,1082.19,853.59,712.1,699.71,,,,,
AR-20.4,1464.04,1082.8,854.44,712.23,699.24,,,,,,
