Index,Reading No,Time,Type,Duration,Units,Sigma Value,Sequence,Flags,SAMPLE,Cu,Fe,Ca,S,Sn,Si,Cl,Mg,Mo,Mo Error,Zr,Zr Error,Sr,Sr Error,U,U Error,Rb,Rb Error,Th,Th Error,Pb,Pb Error,Au,Au Error,Se,Se Error,As,As Error,Hg,Hg Error,Zn,Zn Error,W,W Error,Cu,Cu Error,Ni,Ni Error,Co,Co Error,Fe,Fe Error,Mn,Mn Error,Cr,Cr Error,V,V Error,Ti,Ti Error,Sc,Sc Error,Ca,Ca Error,K,K Error,S,S Error,Ba,Ba Error,Cs,Cs Error,Te,Te Error,Sb,Sb Error,Sn,Sn Error,Cd,Cd Error,Ag,Ag Error,Pd,Pd Error,Bal,Bal Error,Nb,Nb Error,Bi,Bi Error,Re,Re Error,Ta,Ta Error,Hf,Hf Error,Al,Al Error,P,P Error,Si,Si Error,Cl,Cl Error,Mg,Mg Error
1,2655,01/06/2007 01:07,TestAll Geo,123.27,ppm,2,Final,-8mm ,ar -20.3-ya,NA,NA,Ca,S,NA,Si,NA,NA,< LOD,4.53,146.75,13.13,7514.74,32.27,21.76,13.42,< LOD,6.4,< LOD,6.8,89.32,9.77,< LOD,9.85,< LOD,5.37,35.48,8.28,< LOD,17.45,97.85,16.41,< LOD,49.54,5393.68,80.54,92.46,23.31,< LOD,20.33,2154.38,82.57,135.12,49.23,< LOD,14.04,< LOD,11.4,504.35,104.37,< LOD,158.96,380973.25,2438.87,1152.25,125.23,38740.27,468.61,491.58,41.39,85.87,8.02,115.7,21.76,38.3,10.32,76.96,10.06,16.57,8.67,21.27,7.7,< LOD,10.21,542571.81,2416.73,< LOD,4.59,< LOD,9.23,< LOD,1.5,< LOD,1.5,< LOD,1.5,< LOD,1785.62,< LOD,301.72,18124.12,684.83,2130.87,71.76,< LOD,5853.52
2,2654,01/06/2007 01:03,TestAll Geo,120.69,ppm,2,Final,-8mm ,ar -20.2-ya,NA,NA,Ca,S,NA,Si,NA,NA,< LOD,4.49,151.43,13.59,8028.69,33.53,< LOD,20.58,< LOD,6.6,< LOD,6.44,51.23,8.14,< LOD,9.87,< LOD,5.41,31.44,7.25,27.91,11.71,86.9,13.37,< LOD,45.26,2032.35,51.2,108.47,23.03,< LOD,18.19,1466.58,70.38,162.18,50.42,< LOD,15.36,< LOD,12.48,286.98,98.02,< LOD,204.51,371939,2398.54,530.87,103.28,21750.36,324.44,354.4,34.61,62.28,6.77,70.45,18.22,27.61,8.7,58.19,8.38,< LOD,10.47,11.67,6.33,< LOD,9.33,577580.44,2279,< LOD,4.81,< LOD,9.09,< LOD,1.5,< LOD,1.5,< LOD,1.5,1663.5,977.21,< LOD,239.78,11899.22,526.93,2841.79,69.15,< LOD,4557.6
3,2653,01/06/2007 00:59,TestAll Geo,122.5,ppm,2,Final,-8mm ,ar -20.1-ya,NA,NA,Ca,S,NA,Si,NA,NA,< LOD,4.28,126.68,12.62,7412.38,31.24,< LOD,19.39,< LOD,3.83,< LOD,6.92,116.8,10.36,< LOD,9.42,< LOD,5.05,36.38,8.91,38.75,12.04,217.98,18.4,< LOD,45.99,4648.53,72.91,51.32,21.3,< LOD,21.37,3112.96,94.72,249.45,51.94,< LOD,13,< LOD,11.37,297.9,74.8,208.21,91.15,288119.25,1966.4,1019.28,111.56,34326.84,388.52,390.45,37.28,74.58,7.32,111.59,20.02,26.96,9.34,139.89,10.21,15.2,7.99,15.14,6.91,< LOD,10.01,644646.25,1955.03,< LOD,2.82,< LOD,9.56,< LOD,1.5,< LOD,1.5,< LOD,1.5,< LOD,1167.98,< LOD,229.62,12002.63,489.62,2902.72,66.25,< LOD,4086.06
4,2652,01/06/2007 00:56,TestAll Geo,120.17,ppm,2,Final,-8mm ,ar -19.1-ya,Cu,NA,Ca,S,Sn,Si,NA,NA,< LOD,12.76,< LOD,19.01,1127.98,33.46,< LOD,300000,< LOD,8.4,< LOD,300000,281.92,36.71,< LOD,95.56,< LOD,25.41,2165.8,84,< LOD,300000,402.4,105.45,< LOD,250.73,173692.17,2889.83,< LOD,202.83,1022.94,104.98,3249.6,188.99,< LOD,210.95,< LOD,51.18,< LOD,46.94,428.4,79.23,< LOD,60.58,77407.02,1422.51,1151.81,343.65,56481.02,592.82,< LOD,446.83,< LOD,21.95,< LOD,96.82,195.93,62.53,186494.86,4335.25,128.73,49.14,57.77,26.88,< LOD,13.37,473541.31,8424.04,< LOD,8.41,< LOD,32.2,< LOD,1.5,< LOD,1.5,< LOD,1.5,< LOD,2504.93,< LOD,251.17,16596.14,592.01,5227.7,97.99,< LOD,8175.31
5,2651,01/06/2007 00:51,TestAll Geo,122.27,ppm,2,Final,-8mm ,ar -18.2-ya,Cu,NA,Ca,S,NA,Si,NA,Mg,< LOD,7.03,< LOD,6.39,571.64,10.63,< LOD,9.06,< LOD,2.45,< LOD,5.59,85.83,9.5,< LOD,13.67,< LOD,3.74,66.78,10.18,< LOD,25.75,< LOD,61.83,< LOD,66.55,97426.96,808.49,< LOD,47.6,< LOD,46.52,2559.05,87.98,< LOD,77.8,< LOD,34.86,< LOD,34.89,189.47,71,< LOD,147.43,242348.3,1795.67,580.73,114.5,50899.14,488.36,136.4,47.34,< LOD,10.54,< LOD,28.46,< LOD,19.08,310.06,18.71,< LOD,9.49,< LOD,13.64,< LOD,4.71,575863.13,2473,< LOD,3.27,< LOD,7.25,< LOD,1.5,< LOD,1.5,< LOD,1.5,< LOD,2087.28,< LOD,216.84,16266.79,565.02,2166.2,61.41,10399.59,4593.26
6,2650,01/06/2007 00:48,TestAll Geo,120.15,ppm,2,Final,-8mm ,ar -18.1-ya,Cu,NA,Ca,S,NA,Si,NA,NA,11.06,4.14,< LOD,9.74,1026.78,18.93,< LOD,300000,< LOD,4.21,< LOD,300000,270.63,18.38,< LOD,15.42,< LOD,5.7,234.91,20.75,< LOD,300000,177.36,56.01,< LOD,111.71,143997.83,1348.61,< LOD,55.06,< LOD,71.03,7907.1,160.71,< LOD,118.15,< LOD,39.94,< LOD,53.25,327.54,68.04,< LOD,117.32,196692.5,1763.78,973.92,136.29,69116.43,631.08,100.64,56.05,< LOD,11.55,< LOD,31.03,< LOD,22.7,388,23.64,< LOD,11.74,< LOD,10.88,< LOD,7.36,550098.06,3116.01,< LOD,4.3,< LOD,10.47,< LOD,1.5,< LOD,1.5,< LOD,1.5,< LOD,1644.37,< LOD,254.4,24933.93,704.69,2406.9,68.77,< LOD,8866.16
7,2649,01/06/2007 00:44,TestAll Geo,122.03,ppm,2,Final,-8mm ,ar -17.3-ya,Cu,NA,Ca,S,NA,Si,NA,NA,< LOD,11.73,< LOD,9.36,328.46,11.91,< LOD,300000,4.58,2.82,< LOD,300000,168.02,19.56,< LOD,26.53,< LOD,7.81,167.26,22.32,< LOD,300000,< LOD,112.69,< LOD,154,236468.73,2519.04,< LOD,62.71,90.72,39.13,2781.92,98.39,< LOD,81.37,< LOD,34.48,< LOD,32.58,249.7,41.62,< LOD,46.54,50037.74,898.96,1748.8,151,65497.5,646.39,149.45,71.78,32.07,10.73,82.07,29.77,< LOD,33.52,453.64,30.48,< LOD,14.72,< LOD,13.64,< LOD,7.59,545074.38,4151.66,< LOD,5.89,< LOD,14.2,< LOD,1.5,< LOD,1.5,< LOD,1.5,3090.96,868.57,< LOD,230.17,90807.48,1126.07,2870.59,62.6,< LOD,3907.2
8,2648,01/06/2007 00:41,TestAll Geo,120.01,ppm,2,Final,-8mm ,ar -17.2-ya,Cu,NA,Ca,S,NA,Si,NA,NA,31.17,11.37,< LOD,17.21,416.35,25.46,< LOD,300000,< LOD,7.62,< LOD,300000,235.6,43.31,< LOD,54.09,< LOD,17.38,649.52,66.47,< LOD,300000,< LOD,245.57,197.66,121.62,553082.56,10357.82,517.26,83.58,880.06,66.26,1781.14,99.74,< LOD,90.31,< LOD,51.04,< LOD,59.36,278.12,60.61,< LOD,75.24,57057.82,1346.97,660.43,168.79,65238.61,892.05,247.28,104.09,66.84,17.72,88.78,47.56,< LOD,41.9,501.39,46.68,< LOD,21.33,39.19,14.96,< LOD,17.79,287842.34,12420.3,< LOD,11.97,< LOD,32.35,< LOD,1.5,< LOD,1.5,< LOD,1.5,4583.66,1397.84,454.91,134.72,18698.67,550.64,6606.3,119.38,< LOD,7755.27
9,2647,01/06/2007 00:38,TestAll Geo,121.15,ppm,2,Final,-8mm ,ar -17.1-ya,Cu,NA,Ca,S,NA,Si,NA,NA,< LOD,4.31,141.19,11.31,5781.76,27.33,27.18,11.73,< LOD,5.77,< LOD,6.64,165.31,11.58,< LOD,9.41,< LOD,5.26,71.77,10.51,< LOD,17.39,369.65,24.27,< LOD,50.42,11203.23,142.02,63.66,21.84,< LOD,26.89,5735.2,124.74,354.73,55.3,< LOD,12.2,< LOD,11.83,201.92,32.37,242.82,78.21,295105.06,2029.13,2446.23,119.73,60421.5,582.52,246.7,37.73,31.77,7.36,44.51,20.02,< LOD,14.09,175.7,11.2,< LOD,12.16,16.21,7.21,< LOD,9.53,586204.31,2214.71,< LOD,3.73,< LOD,9.29,< LOD,1.5,< LOD,1.5,< LOD,1.5,1952.48,1061.83,< LOD,289.59,26061.16,763.3,3975.27,89.19,< LOD,5630.33
10,2646,01/06/2007 00:34,TestAll Geo,120.85,ppm,2,Final,-8mm ,ar -16.3-ya,Cu,Fe,Ca,S,NA,Si,NA,NA,30.85,5.21,205.26,14.93,4005.15,55.81,< LOD,300000,8.52,3.14,< LOD,300000,44.83,10.68,< LOD,15.78,< LOD,6.03,390.24,19.6,< LOD,300000,620.75,57.26,< LOD,94.63,107707.14,1106.9,< LOD,65.79,426.43,100.13,30667.29,388.01,244.4,71.38,74.41,37.07,< LOD,70.42,2157.16,126.7,< LOD,152.72,300926.28,2354.31,2663.18,182.18,58516.49,596.95,281.94,64.62,18.62,8.53,< LOD,34.49,< LOD,25.27,243.74,22.5,< LOD,12.49,< LOD,10.5,< LOD,6.3,417630,3779.69,10.83,3.61,< LOD,13.63,< LOD,1.5,< LOD,1.5,< LOD,1.5,7917.52,1679.95,< LOD,337.33,62175.95,1127.45,2974.13,81.4,< LOD,8178.22
